id_cliente;id_estandar;nombre_cliente;debe;haber;deudor;acreedor;activo;pasivo;perdida;ganancia;;
11071104;1.01.40.00;CTA CTE MONETARIA POR COBRAR ACADEMIA;80286800;84441905;0;4155105;0;4155105;0;0;0;-4155105
11071105;1.01.40.00;CTA CTE MONETARIA POR COBRAR OTEC;1238424;;1238424;0;1238424;0;0;0;0;1238424
11071106;1.01.40.00;CTA CTE MONETARIA POR COBRAR GMT;11309039;11309039;0;0;0;0;0;0;0;0
11071107;1.01.40.00;CTA CTE MONETARIA POR COBRAR REAL AUDIO;2272250;1364207;908043;0;908043;0;0;0;0;908043
11072101;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR AMIQQ;56786765;56786765;0;0;0;0;0;0;0;0
11072103;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR AM-PERU;11308994641;5900500568;5408494073;0;5408494073;0;0;0;0;5408494073
11072104;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR ACADEMIA;283048322;25063000;257985322;0;257985322;0;0;0;0;257985322
11072105;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR OTEC;42736976;30000000;12736976;0;12736976;0;0;0;0;12736976
11072107;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR REAL AUDIO;126020802;1506042;124514760;0;124514760;0;0;0;0;124514760
11072109;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR INVERSIONES AUDIOMUSICA;368946870;;368946870;0;368946870;0;0;0;0;368946870
11072110;1.01.40.00;CTA CTE NO MONETARIA POR COBRAR INVERSIONES AM II;4815802224;;4815802224;0;4815802224;0;0;0;0;4815802224
11081001;1.01.50.00;EXISTENCIAS;40355365730;35672351424;4683014306;0;4683014306;0;0;0;0;4683014306
11081002;1.01.50.00;EXISTENCIAS EN TRÁNSITO;15250430239;12579761755;2670668484;0;2670668484;0;0;0;0;2670668484
11081003;1.01.99.00;DIFERENCIAS DE PRECIO;6502596;6502596;0;0;0;0;0;0;0;0
11081004;1.01.50.00;INVENTARIO EN TIENDAS;462932302;462932302;0;0;0;0;0;0;0;0
11082004;1.01.99.00;DETERIORO INVENTARIOS ACUMULADOS;368208888;368208888;0;0;0;0;0;0;0;0
11091001;1.01.59.00;IVA CRÉDITO FISCAL;4634292218;4584020440;50271778;0;50271778;0;0;0;0;50271778
11091002;1.01.99.00;REMANENTE IVA CF;125668445;70337999;55330446;0;55330446;0;0;0;0;55330446
11091003;1.01.99.00;PAGOS PROVISIONALES MENSUALES DEL PERÍODO;13335835;13335835;0;0;0;0;0;0;0;0
